Z1,Z2,Z3,Z4,,,mean,stdev,variance,max,min
-16096,-18304,-17248,-16492,,,,,,,
-16016,-18488,-17216,-16456,,,,,,,
-16084,-18492,-17196,-16412,,,,,,,
-15984,-18436,-17180,-16384,,,,,,,
-16172,-18248,-17144,-16428,,,,,,,
-16244,-18328,-17280,-16516,,,,,,,
-16196,-18428,-17312,-16464,,,,,,,
-16012,-18400,-17220,-16492,,,,,,,
-16132,-18388,-17300,-16520,,,,,,,
-16044,-18448,-17264,-16624,,,,,,,
-16136,-18420,-17292,-16380,,,,,,,
-16080,-18420,-17148,-16396,,,,,,,
-15864,-18396,-17236,-16456,,,,,,,
-16124,-18512,-17028,-16640,,,,,,,
-16144,-18320,-17144,-16332,,,,,,,
-16128,-18336,-17080,-16480,,,,,,,
-16036,-18336,-17204,-16484,,,,,,,
-16108,-18452,-17040,-16588,,,,,,,
-16060,-18424,-17112,-16460,,,,,,,
-16072,-18608,-17224,-16428,,,,,,,
-16128,-18480,-17200,-16616,,,,,,,
-16176,-18348,-17280,-16412,,,,,,,
-16220,-18456,-17192,-16304,,,,,,,
-16076,-18532,-17232,-16508,,,,,,,
-16116,-18496,-17172,-16500,,,,,,,
-16088,-18440,-17212,-16340,,,,,,,
-15972,-18372,-17020,-16688,,,,,,,
-16160,-18560,-17088,-16540,,,,,,,
-15928,-18480,-17244,-16396,,,,,,,
-16020,-18384,-17112,-16620,,,,,,,
-16100,-18488,-17212,-16420,,,,,,,
-16196,-18416,-17228,-16396,,,,,,,
-16068,-18408,-17112,-16512,,,,,,,
-16072,-18256,-17268,-16556,,,,,,,
-15980,-18340,-17120,-16392,,,,,,,
-16268,-18448,-17272,-16388,,,,,,,
-16092,-18296,-17124,-16500,,,,,,,
-15900,-18452,-17244,-16400,,,,,,,
-16100,-18404,-17280,-16380,,,,,,,
-16072,-18356,-17240,-16532,,,,,,,
-16212,-18304,-17160,-16392,,,,,,,
-16112,-18544,-17204,-16400,,,,,,,
-16036,-18504,-17140,-16548,,,,,,,
-16120,-18492,-17236,-16588,,,,,,,
-16000,-18420,-17076,-16316,,,,,,,
-16036,-18528,-17224,-16424,,,,,,,
-16100,-18408,-17272,-16536,,,,,,,
-16028,-18392,-17200,-16548,,,,,,,
-16172,-18520,-17240,-16496,,,,,,,
-16144,-18344,-17180,-16484,,,,,,,
-16164,-18424,-17208,-16588,,,,,,,
-16088,-18532,-17132,-16496,,,,,,,
-16072,-18284,-17272,-16468,,,,,,,
-16044,-18248,-17192,-16608,,,,,,,
-15936,-18408,-17104,-16672,,,,,,,
-16028,-18516,-17224,-16424,,,,,,,
-16180,-18420,-17132,-16532,,,,,,,
-16112,-18376,-17276,-16548,,,,,,,
-16164,-18304,-17188,-16556,,,,,,,
-16192,-18552,-17116,-16576,,,,,,,
-16040,-18532,-17248,-16448,,,,,,,
-16180,-18364,-17156,-16512,,,,,,,
-15876,-18420,-17272,-16404,,,,,,,
-16136,-18424,-17296,-16444,,,,,,,
-16088,-18348,-17152,-16400,,,,,,,
-16180,-18348,-17276,-16332,,,,,,,
-16024,-18488,-17280,-16492,,,,,,,
-16268,-18408,-17052,-16508,,,,,,,
-15940,-18376,-17128,-16632,,,,,,,
-16036,-18452,-17188,-16540,,,,,,,
-16080,-18500,-17120,-16544,,,,,,,
-16036,-18416,-17256,-16344,,,,,,,
-16092,-18492,-17276,-16316,,,,,,,
-16220,-18360,-17200,-16544,,,,,,,
-16064,-18524,-17200,-16596,,,,,,,
-16276,-18556,-17112,-16464,,,,,,,
-16212,-18308,-17200,-16504,,,,,,,
-16192,-18392,-17248,-16420,,,,,,,
-16000,-18348,-17180,-16480,,,,,,,
-16136,-18460,-17208,-16500,,,,,,,
-16092,-18392,-17268,-16396,,,,,,,
-15984,-18460,-17304,-16512,,,,,,,
-16104,-18376,-17136,-16360,,,,,,,
-16220,-18432,-17208,-16596,,,,,,,
-16016,-18432,-17188,-16636,,,,,,,
-16072,-18400,-17228,-16588,,,,,,,
-16088,-18364,-17016,-16456,,,,,,,
-15940,-18440,-17224,-16472,,,,,,,
-16080,-18456,-17164,-16372,,,,,,,
-16116,-18316,-17184,-16500,,,,,,,
-16048,-18280,-16972,-16400,,,,,,,
-16092,-18372,-17116,-16492,,,,,,,
-16004,-18392,-17064,-16284,,,,,,,
-16100,-18328,-17112,-16388,,,,,,,
-16132,-18424,-17128,-16524,,,,,,,
-16012,-18456,-17288,-16456,,,,,,,
-15936,-18436,-17088,-16572,,,,,,,
-16080,-18508,-17272,-16520,,,,,,,
-16188,-18404,-17112,-16576,,,,,,,
-16120,-18368,-17248,-16484,,,,,,,
-16172,-18476,-17104,-16608,,,,,,,
-16060,-18476,-17252,-16452,,,,,,,
-16120,-18368,-17164,-16460,,,,,,,
-16192,-18344,-17092,-16400,,,,,,,
-16096,-18380,-17164,-16424,,,,,,,
-16200,-18260,-17124,-16556,,,,,,,
-16152,-18448,-17320,-16536,,,,,,,
-16048,-18420,-17188,-16612,,,,,,,
-16272,-18480,-17176,-16460,,,,,,,
-16152,-18468,-17180,-16508,,,,,,,
-16116,-18468,-17144,-16460,,,,,,,
-16140,-18384,-17156,-16572,,,,,,,
-16136,-18448,-17192,-16400,,,,,,,
-16076,-18264,-17256,-16580,,,,,,,
-16208,-18376,-17192,-16508,,,,,,,
-16056,-18364,-17180,-16360,,,,,,,
-16020,-18440,-17152,-16432,,,,,,,
-16208,-18408,-17140,-16468,,,,,,,
-16304,-18468,-17364,-16512,,,,,,,
-16172,-18408,-17204,-16476,,,,,,,
-16144,-18356,-17148,-16532,,,,,,,
-16044,-18580,-17140,-16500,,,,,,,
-16072,-18592,-17120,-16584,,,,,,,
-16116,-18464,-17136,-16332,,,,,,,
-16132,-18516,-17024,-16324,,,,,,,
-15964,-18408,-17140,-16508,,,,,,,
-16112,-18572,-17088,-16456,,,,,,,
-15988,-18452,-17320,-16468,,,,,,,
-16200,-18356,-17196,-16572,,,,,,,
-16192,-18336,-17432,-16464,,,,,,,
-15896,-18472,-17192,-16480,,,,,,,
-16036,-18412,-17268,-16360,,,,,,,
-16092,-18512,-17192,-16528,,,,,,,
-15920,-18276,-17212,-16532,,,,,,,
-16252,-18304,-17308,-16532,,,,,,,
-16128,-18408,-17108,-16440,,,,,,,
-16052,-18508,-17132,-16372,,,,,,,
-16144,-18364,-17288,-16524,,,,,,,
-16204,-18504,-17228,-16528,,,,,,,
-16052,-18356,-16972,-16416,,,,,,,
-16160,-18320,-17192,-16540,,,,,,,
-16064,-18384,-17140,-16500,,,,,,,
-16052,-18380,-17072,-16488,,,,,,,
-16168,-18280,-17108,-16656,,,,,,,
-16108,-18380,-17168,-16500,,,,,,,
-16108,-18472,-17192,-16416,,,,,,,
-15856,-18428,-17340,-16504,,,,,,,
-16092,-18420,-17112,-16312,,,,,,,
-16176,-18400,-17220,-16432,,,,,,,
-16088,-18520,-17104,-16528,,,,,,,
-16112,-18332,-17180,-16640,,,,,,,
-16044,-18372,-17148,-16568,,,,,,,
-16232,-18364,-17204,-16536,,,,,,,
-16140,-18488,-17192,-16464,,,,,,,
-16000,-18404,-17132,-16552,,,,,,,
